timestamp,datetime_utc,total_flights,unique_routes,countries,airports,airlines,avg_duration_min,total_distance_km,total_co2_tonnes,avg_distance_km
1774763390,2026-03-29 05:49:50,434,393,55,100,50,76,307551.7,5305.27,866
1774765174,2026-03-29 06:19:34,1375,1161,72,100,50,77,997333.4,17204.0,868
1774767787,2026-03-29 07:03:07,1417,1187,75,100,50,77,1031914.7,17800.53,869
1774770460,2026-03-29 07:47:40,1473,1221,75,100,50,78,1082022.7,18664.89,873
1774773230,2026-03-29 08:33:50,1531,1264,80,100,50,79,1169395.2,20172.07,903
1774776182,2026-03-29 09:23:02,1574,1290,81,100,50,80,1216573.7,20985.9,913
1774778660,2026-03-29 10:04:20,1623,1326,82,100,50,82,1284380.1,22155.56,931
1774780798,2026-03-29 10:39:58,1676,1361,84,100,50,82,1354916.5,23372.31,948
1774783385,2026-03-29 11:23:05,1734,1401,85,100,50,83,1407138.4,24273.14,948
1774784658,2026-03-29 11:44:18,1766,1426,85,100,50,82,1436880.2,24786.18,948
1774787017,2026-03-29 12:23:37,1862,1493,86,100,50,83,1525333.7,26312.01,950
1774791771,2026-03-29 13:42:51,1946,1550,87,100,50,83,1588119.1,27395.05,948
1774794714,2026-03-29 14:31:54,2045,1617,88,100,50,82,1638621.6,28266.22,932
1774796516,2026-03-29 15:01:56,2117,1669,89,100,50,82,1691106.6,29171.59,929
1774798585,2026-03-29 15:36:25,2216,1737,89,100,50,81,1755539.4,30283.05,922
1774800326,2026-03-29 16:05:26,2315,1806,90,100,50,80,1809098.9,31206.96,910
1774802967,2026-03-29 16:49:27,2432,1891,92,100,50,80,1897639.2,32734.28,910
1774805576,2026-03-29 17:32:56,2564,1977,92,100,50,80,1993249.2,34383.55,908
